"","Participant","Group","Instructional.Condition","Order","Core","Reduced.Mass","Core.Start.Mass","Core.End.Mass","Flake.Scars_10mm","Flake.Scars_Core.Mass","Cortex","Avg.Flake.Scar.Max.Dimension_mm","Max.Core.Dimension","Avg.Scar.Max_Max.Core.Dimension","Area.of.Battered.Platform","surface_area","volume","bounding_box_dim1","bounding_box_dim2","bounding_box_dim3","isoper_ratio","area_volume","PC1","PC2"
"61","7","novice","0",NA,"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","7","novice","0",NA,"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7","novice","0",NA,"118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","8","novice","0",1,"56",0.707755923,894.8,261.5,20,0.076481836,30,28.285,98.9,0.285995956,5,15777.00098,102433.3542,97.91156006,79.5266571,67.15125275,374.274785,0.154022106404869,-0.585619859006911,1.0229591290733
"65","8","novice","0",2,"50",0.546327898,791.1,358.9,47,0.130955698,50,18.70638298,121.5,0.149054845,30,17393.50391,142842.9167,118.4141846,59.49525452,57.42802429,257.8955322,0.121766653270809,-2.21755131977271,0.286406407988056
"66","8","novice","0",3,"146",0.397586167,861.7,519.1,31,0.059718744,65,28.23870968,169.2,0.166895447,15,25468.61914,204796.9583,163.9703827,73.548172,64.24518585,393.8847736,0.1243603389006,-2.47466319116167,1.32595371309579
"67","8","novice","0",4,"75",0.826293308,1264.2,219.6,39,0.177595628,30,21.55128205,81.6,0.264108849,70,11721.49121,87082.83854,76.56354523,64.22863007,39.43454742,212.365246,0.134601620784512,-1.24902208832086,-0.96971750470568
"68","8","novice","0",5,"69",0.768175698,1188.4,275.5,14,0.050816697,30,33.81428571,120.3,0.281083007,5,16008.76074,109299.3646,119.6122055,73.01809692,92.18508148,343.4297135,0.146467097943221,-0.788247190974997,1.06980964823266
"69","8","novice","0",6,"108",0.956025918,1157.5,50.9,17,0.333988212,0,28.95882353,68.4,0.423374613,0,5383.651855,20144.79688,67.60176849,44.82656097,21.6975975,384.5077676,0.267247760653519,3.02081443623714,0.227917892624879
"70","8","novice","0",7,"89",0.854424735,1009.1,146.9,17,0.115724983,55,26.6,110.4,0.240942029,15,10809.02344,58164.43229,110.1343231,60.64360428,33.21650696,373.288309,0.185835621778404,-0.973645419319129,1.24506635390228
